Response_ID,Event_Name,Department,Year,Overall_Rating,Content_Rating,Organization_Rating,Speaker_Rating,Would_Recommend,Feedback_Text,Sentiment_Score,Sentiment_Label
1,Tech Fest,ME,Final Year,2,2,5,5,No,Not satisfied with the arrangements.,-0.25,Negative
2,Tech Fest,MBA,Final Year,5,5,2,2,Yes,Overall a decent experience.,0.083333333,Neutral
3,Workshop,ME,Final Year,2,1,5,4,Yes,Poor management but topic was interesting.,0.05,Neutral
4,Cultural Fest,EE,Final Year,2,4,1,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
5,Cultural Fest,EE,3rd Year,2,5,1,3,No,Good experience but could be improved.,0.7,Positive
6,Cultural Fest,MBA,2nd Year,1,3,1,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
7,Tech Fest,CE,Final Year,5,4,5,1,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
8,Sports Meet,ECE,Final Year,3,1,3,2,No,Excellent speakers and great content.,0.9,Positive
9,Tech Fest,CE,3rd Year,5,2,5,4,No,Not satisfied with the arrangements.,-0.25,Negative
10,Sports Meet,EE,3rd Year,3,2,5,5,No,Not satisfied with the arrangements.,-0.25,Negative
11,Seminar,CE,1st Year,5,2,3,2,Yes,Good experience but could be improved.,0.7,Positive
12,Tech Fest,ME,Final Year,5,3,3,4,No,The event was very informative and well organized.,0.2,Positive
13,Tech Fest,ME,1st Year,2,4,3,1,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
14,Tech Fest,EE,Final Year,3,5,2,3,No,Overall a decent experience.,0.083333333,Neutral
15,Cultural Fest,EE,2nd Year,3,4,5,3,Yes,"Average event, expected more interaction.",0.083333333,Neutral
16,Cultural Fest,CE,3rd Year,3,2,2,2,Yes,Excellent speakers and great content.,0.9,Positive
17,Sports Meet,CE,3rd Year,5,3,4,1,Yes,Overall a decent experience.,0.083333333,Neutral
18,Sports Meet,ME,1st Year,3,2,4,1,Yes,Good experience but could be improved.,0.7,Positive
19,Tech Fest,ECE,1st Year,5,1,5,1,No,Poor management but topic was interesting.,0.05,Neutral
20,Sports Meet,MBA,3rd Year,1,4,1,4,No,Overall a decent experience.,0.083333333,Neutral
21,Cultural Fest,ECE,3rd Year,2,3,3,3,Yes,Not satisfied with the arrangements.,-0.25,Negative
22,Sports Meet,EE,3rd Year,4,2,2,1,No,Good experience but could be improved.,0.7,Positive
23,Seminar,CE,Final Year,1,3,4,5,No,Overall a decent experience.,0.083333333,Neutral
24,Cultural Fest,ECE,Final Year,3,1,5,4,No,Poor management but topic was interesting.,0.05,Neutral
25,Seminar,CE,2nd Year,2,1,1,5,Yes,Excellent speakers and great content.,0.9,Positive
26,Sports Meet,CSE,Final Year,2,4,5,5,No,Excellent speakers and great content.,0.9,Positive
27,Workshop,ME,3rd Year,2,3,1,2,Yes,Poor management but topic was interesting.,0.05,Neutral
28,Tech Fest,MBA,Final Year,2,2,5,4,Yes,"Average event, expected more interaction.",0.083333333,Neutral
29,Cultural Fest,CE,1st Year,3,2,3,5,No,Not satisfied with the arrangements.,-0.25,Negative
30,Seminar,MBA,3rd Year,2,5,3,4,No,Poor management but topic was interesting.,0.05,Neutral
31,Workshop,CE,Final Year,4,2,1,1,Yes,The event was very informative and well organized.,0.2,Positive
32,Workshop,CE,3rd Year,4,4,5,2,Yes,Good experience but could be improved.,0.7,Positive
33,Cultural Fest,MBA,1st Year,2,1,3,3,Yes,The event was very informative and well organized.,0.2,Positive
34,Cultural Fest,MBA,1st Year,5,2,5,5,No,Good experience but could be improved.,0.7,Positive
35,Workshop,ECE,Final Year,3,5,5,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
